V160001,V161072 - PRE: What is it that R dislikes about Democratic Pres cand
300001,everything
300002,seem corptupt anti gun anti 2nd amen
300003,
300004,whole personal//no
300006,Im not really strong on their policies and that but it's a worry either way if either one of them become the president//
300007,
300008,
300012,"I've been saying after President Clinton went thru all the issues with impeachment, the affairs, all that I saw in her she stayed with him for her own political gain and power.//Her judgement's awful. When you have an ambassador hundreds of time requesting help, more secruity and she doesn't get the job done, she doesn't do her job. And he got killed of course with 3 others.//All the wheeling and dealing she does. There's definite pay for play.//She panders for votes. Tells people what they want to hear and does nothing for them ever.//"
300018,"She's a liar.  She's a cheat.  She did not show support in Benghazi that I think she should have.  I mean, those guys asked for help and she totally disregarded their request for help//Her stance at abortions being okay at 36 months is total BS.  Babies are born at 36 months.  I mean, Trump had the 'rip 'em from the wound line' which I don't think he should have said it that way but it's the truth//It's murder//This email thing, she's claiming it's not a big deal but she deleted 33,000 emails that she refused to turn over and acted like it wasn't a big deal//With this new Weiner's wife, her top aide, Huma something, with her now coming into question and Hillary is still playing it off as not being a big deal//She's saying check anyone's email.  It's okay.  They'll find the same thing that they did in her emails that they went through before the investigation, except of course the 33000 emails that she deleted and didn't think was a big deal//The accusations, the things she's saying about Trump and his persona"
300020,
300021,a lot of things i do not agree with nothing in particular
300023,
300026,she's not trustworthy//has lied under oath//
300030,She's a crook//Her husband's a crook and draft dodger
300034,
300038,I kind of dont trust her
300039,
300040,I question her veracity in history/
300041,
300042,Benghazi//
300045,everything
300046,think she is wishy washy/always back and forth about anything/trying to get public on her side and don't believe anythinig that she says/
300047,
300049,all the lies and power she has is to much and untruths they have gotten by with
300050,"i don't think she's truthful and i think she's full of greed and out for herself. I don't think she's for the people she just wants votes. i don't like her standards on abortion, i don't think term should go that far. Ben Gahzy there supposed to be fundraising for Haiti and  people still living in tents. I don't see the concerns for the welfare of people the only concern is their vote//"
300051,Pure ignorance.//How I feel she was President for 8 years already in theory and she had no bearing on what he did. Nothing good came out of it.//
300053,"I dont trust her because of the emails, mainly because of the emails that have come up and shed had access to//"
300056,
300058,
300059,that she is not honest and truthful//
300062,Her views on the working class/ views on sex offenders/her ethics/
300064,"the only time you can tell when she is lying is when he mouth is open, a major part in where we are at"
300070,she is not trustworthy or honest//
300072,"no intergrity, [REDACTED FOOD PRODUCTION COMPANY] got a tax breakk, pay for play//sold 20 percet of our land Uranian to stock pile// destroyed emails , federal records which is a felony, and if had pneumonia why visits grandkids instead of hospital//"
300073,It's simply what I've been told about her deceitfulness//
300082,question of trustworthness
300085,"Releasing the classified information, I don't trust her//I had seen her speaking about I don't remember which county, she was expecting them to treat them very well, but when she got there there were guns going off and when I saw it it looked fine to me so I think she is not truthful//by telling the truth is really important for all the citizens of the United States that we are voting for president//"
300092,"seems that everyone who snitches on her dies, we have had one clinton already dont need another,"
300093,
300094,She don't sound believeable//
300098,crook from way back she bill in [REDACTED TIME DETAILS] bank stuff//
300099,i jus don like her/ i think she is a liar//
300100,
300103,she is a crook/she is a democrat/
300106,"shie is a lying scheeming criminal, bad politics, unrealistic campaign promises, built her entire campaign is he is worse than me"
300107,think that she is secretive
300109,
300111,She is a crook and a liar.//
300113,snotty/book I read said she ripped the secret service guy a new one
300116,
300119,
300121,The email situation I was wild about the Bengazi situation
300123,she got americans killed//she is a liar//
300124,Dishonesty. Establishment. Her voting record when she was a senator.
300131,
300135,"The e-mail scandal is confusing and creates more questions about her, like maybe she is not trustworthy.//"
300136,
300137,
300140,
300142,dishonesty//
300143,
300144,only about her lying and comparing the two she is better to me
300146,she will enforce stricter gun laws would make me vote against her//
300148,Being for abortion and the reasons you wouldn't vote for a democrat
300150,
300151,"oridinarrly i would say age, but she is [REDACTED DETAILS] and I would not want to be presidenet, but i feel as though she is prepared for this i almost feel like she is in the catagory that someone has to do lthis, people know her name and she has done a  lot for foreign policy, our house has not been bombed by a nuclear explosion yet\\"
300152,
300153,just don't like her//
300154,"//abortions issues, that fact that she is for ab ortrion"
300155,She is a little hawkish.//
300161,
300165,
300168,
300169,"her changing her mind on things, not telling the whole truth//"
300170,
300171,HER HEALTH//
300172,"everything, she lies//"
300175,her prefernce to be lobbied to by large bank and corportarions her susceptiblity to lobbing that has little to do with my benefit// why is it her the biggest money the bank are trying extra hard toward her and her association with Saudi arabria she doesnt's acknowlege it
300176,
300177,
300179,PICK OF SUPTREME COURT WOULD BE WORST THING\
300180,
300181,well you know i dont know why she would have a private server and the media only let you hear only so much it will come out later but the fbi cleared her its a two-sided coin
300182,Disappointment that she lies. Security for body guard. Emails she should have said I am very sorry. She was late. I do not have another choice to vote for her. //
300184,Her inability to come clean on a couple of political issues. for example Benghazi.//For her it's like picking my poison.//
300185,her husband was president before and she has a lot of special interests and private interests
300186,jer toes tp career politicians\\[olliticians
300187,corruption//she is engaged in crimianl activity lied about it;used power for personal gain;// her foreign policy is promotes facilitates war; dishonelty untrustworthyness;;//those are the main ones.
300188,I dont trust her and shes married to B ill and I dont trust him at all.//
300195,"Im very concerned about the FBI in the email situation and begazi, don;t agree with her economic policies//"
