V160001,V161078 - PRE: What is it that R dislikes about Republican Pres cand
300001,
300002,erassional//
300003,
300004,arganize
300006,dont feel he has political experience//
300007,"inexoerience in politics, and I dont know how a person has always had his way will deal with congress, what will he fire them if they vote against him//"
300008,arrogrance
300012,
300018,"He tends to not have a filter and flies off at the mouth from time to time, which I know I also said was a good thing....but it's a detriment.  He's got some pretty bad history from a personal standpoint//I just know his business practices..not ever paying income tax, which I guess, you know, he's smart enough to know the tax code and get away from it..  But, at the same time, I have to pay taxes every year and to not pay taxes and control the government seems wrong//"
300020,
300021,
300023,He is just so conceited and thinks he is so powerful and he knows little about politics and governemnt.//
300026,"view on immiration, hard line towards Muslims in general, lack of experience in office, being a frea monger//"
300030,
300034,Where do I start ? I think he is unknowledgeable about foriegn policy. He does not tell the truth. His personality is not condusive to being a President. //
300038,
300039,"I guess...he is untrustworthy, he incites and hatred and violence//he is unfit//He is unknowledgable of the job"
300040,
300041,the way he speaks aboit woman immigrants has no concept of foreighn policy
300042,I don't think he knows enough about national defence and i don't think e's very educated in the military
300045,"trash talk, should keep his mouth shut because it hurts his campaign//"
300046,
300047,Everything about him.//
300049,he's rude and crude
300050,If another candidiate was running
300051,
300053,"someo fhis statements that have been made either by him or by the press rearidng things he said about females, about abortions and uhm, possibly his spins in immigration//uhm and lastly the waauy he speaks uhm... and the way he speaks and not being a good listener//"
300056,
300058,Dishonesty// His lying//Lack of experience//
300059,his general demeanor//
300062,"How he interacts with people in general, too aggressive/ doesn't take accountability/"
300064,
300070,
300072,
300073,
300082,con man//
300085,"He was for building a wall but then I heard he was bringing in workers from other countries, at a lower wage instead of hiring Americans// lower wage workers at his resorts//to me if you don't want illegal immegrants to come here, then why are you hiring them. He wants cheap labor. He doesn't want to pay a fair wage//"
300092,he needs to have someone write his speeche
300093,He needs to change is racism. He's kinda of racist. it's okay. Everybody is.//
300094,"He's racist, he has no political experience, he is rude, sexy and what he says goes against what a president should be//"
300098,they ecxplains himmself pas not much different then clitons
300099,
300100,he's uneducated\\hes not fully aware of how to run this country or his political views
300103,
300106,sometimes he is not politically correct but he is not a politician so that is a for and against
300107,"elitist, racist, invokes hates, dont feel hei's educated in politics, untrustworthy, rude."
300109,"he offends the latin community,he has no respect for prople especially women, he doesnt care about people in general, its about business with, very disrespectful//"
300111,His mouth.  His lack of control of his mouth his inability to communicate properly.//
300113,loose canon some of the stuff I've seen him say and do makes me not want to vote for him//he told him to get the guy and beat him down and he would pay for the lawyer//his hair
300116,HIS ATTITUDE AND THE WAY HE TALKS ABOUT DIFFERENT RACES AND WILL SAY ANY THINGAND THE WAY HE TALKS ABOUT WOMEN//
300119,alot about gun amry guns
300121,He's not a nice person
300123,he is alittle crude//
300124,Temperament.
300131,"Reality star not a candidate for Presidential campaign,He doesnt cotrol hi s mouth, rascist, intolerant,//"
300135,"Recent comments he has made on social media and his debates, he just seems immature and he does not know what he is doing.//"
300136,
300137,"El racismo, el narcisismo, el va a ayudar a los ricos y no a la clase media//es una persona arrogante//"
300140,"Everything about him. I don't trust him. I don't think he has any clue about American public people need and has no idea what it takes to be president and no clue on issues of national concerns. //I think he's a poor representation of what America stands for. What we are trying to be as a nation for ourselves and in the world, in the global, the world.//"
300142,"dont like his big mouth, leave things insaid//his offensiveness//"
300143,He is not going to put in Supreme Court justices that you would be inline with his thinking.//
300144,"think he is prejuidise and teaching people how to hate, he is racist"
300146,
300148,"Just how he is so like ignorant. the things he says, he just shoots right to the point, I guess some people like that but he scares me. he could make someone important mad and he could make a mess for the country/"
300150,not the president type
300151,"his name; his notarity, his treatment of women, his inability to carry on a conversation without condemning the other person for an opinion and his terrible just the way he how low he goes in his descrioption of anyone he does not like in slang, he sounds like he is not very well brought up,he has gold chairs and gold everything or colored everything and he displays this as if it is a good thing instead of - that is more like a king, he wants to be king, and that is what his politics seem like to me, the heck with dictator he wants to be king\\"
300152,his racist views//his lack of professionalism//his masaginist views/
300153,blunt about war and how he wants that//
300154,//the feeling that he wouldn't mind seperating us b y race and social class
300155,He ran an emotional campaign rather than a planned campaign. He divides people rater that brings them togather. His business record is atrocious. He is a con man.
300161,"RACISM, PROMOTES RACISM//HE HAS A LOT OF NEGATIVES THINGS// HE SPEAKS AGAINST LATINOS, I'M LATINA//"
300165,He doesn't know what he is talking about.  He has no political experience and he has no platform & he talks off the top of his head.
300168,he's existence//he's just a brat// he's a bully makes things up alot of fabrications//
300169,"Everything, I dont like what he represents or stands for, I dont think hes qualified//"
300170,"the way he is, his personality is not presidential//"
300171,RACES INMIGRATION LAWS//
300172,he can be a little crasp when not reading from a telepromter//
300175,"lack of experience, his grasp public personia// racism in differnce to be supported by racist community, his indifference in general disturb's me//he not a stakely figure he wouldn't honor the office and he would cost the economy billions of dollars if he followed through on some of the things he said."
300176,
300177,hes very arrogan\\he dont talk smart
300179,HIS INABLITY TO CONTROL HIS EMOSIHILON
300180,"doesnt like that he discrimates other races, we all want to be represented in the US"
300181,he's crazy//he very rude and not a people person and i think he will be for the rich the poor will keep getting poorer and the rich will get richer like its been going
300182,I will never vote for him and I will never vote for him especially how he speaks about the Mexican people about chinese and all asian people. He doesnt know about politics alot as Hiliary and if he is President he is going to send us down the hall. I do not like the way he treats Hiliary. I have so much to say about him. I do not have any feels for him no good feelings also about him. He is a thief regarding the University he stole from the students Obama is zero for me.Upset with Obama//
300184,This narrative that he's a great business man is absolutely not the case. In my opinion.//He's a horrible business man.//he's bankrupted his casinos god knows how many times.//Bond issue after bond issue 30 cents on the dollar time and again. yes hes legally used the tax code system but to the dtriment of hundreds of thousands of shareholders over the last 2 to 3 decades.//Totally uninformed on political topis and subjects of interest.//Anyone running for the office of president should be more informed.//Horrible disposition.//Combative. A bully.//No compassion and indifferent.//
300185,corporate elitist//arrogant//racist
300186,"his personality, his position on major issues, or lasck of , his attitude toward women and minorities, \\"
300187,he's is just crass; unappealing in general// nope.
300188,
300195,A little nervous about his ability to be able to control himself especailly in the world arena//
300196,a little quick on the draw at times and says things off the top of his head and i think times he should give more time before he re acts.
300198,"He is a liar, he would not be a good president for this country//"
300200,What is going on with all the Mexicans and undocumented people.\\
300204,Outspoken but in an untelligent way/When he speaks his mind he speaks about the country but not in a world way/
300207,i don't like the way he represents himself. im fearful with the racial divide that we already have they he could stir that more.//
300209,His past.  He's a little more radical than I would be accustomed to.// He would probably get us into more wars./
300210,
300212,"aggressive, expressions are too strong//"
300215,
300217,
300222,Oh my God! How he treats people. How he carries himself. His inability to describe his plans. Those are probably the Key ones.//No
300224,"I dont like his overall brashness. As much he is a billionaire and running a business and being wealthy, I dont think he has what it takes to become President and represent all of us.//There is plenty but that pretty much surmises it.//Overall, I think he doesn't see us.....I feel he will not take us into the future. I think he will take us a step back. I think he is running his campaign for selfish reasons not for reasons in the best interest of the public. He just wants to check President off his bucket list."
300227,he has too much of a mouth sometimes//arrogance
300228,inexperienced/mysogmy//intregity//lack of experience
300230,if otherperson talks to much about nothiong
300232,
300234,I just don't trust him.  His untrustworthiness//
300235,Everything specfically bigitry sexism just his inflammatory speeches
300237,"he is a puppeat, full of fear, wants to be popular, sensationalism, no self steem// ignorant, not gentleman, goes over boudaries, no respect, lose cannon//"
300238,he is against mexicans. he really does not have respect for them.\\
300240,
300242,HE NEEDS TO LEARN TO CONTROL HIS SARCASIM
300244,He is thin skinned and a loose cannon and I don't think he understands the political process.//
300245,
300246,"Teres a lot of things. He doesnt seem like he has much control of his emotions and thats scary, it could start wars. Seems very ignorant, and doesnt have any experience as far as politics goes and only seems to care about money and closed minded, sexist.//"
300248,"I DON'T THINK THE MAN DOESN'T THINK SOME TIMES, IF HE GETS IN I HOPE HE WILL THINK BEFORE HE DOES ANYTHING DRASTIC//"
300250,
300252,"I just think he's very arrogant. I think his mouth opens up before he thinks of what he's saying. Don't think speaking out is what an american is, you have to be able to backyourself. Don't know what people are beliving everyting he says he wants to do. Everyone wants to do some of those things. He talks too much and is not very professional/"
300254,His stance on religious beliefs.
300255,"His mouth.//The way he treats people, the things he has said."
300256,
300259,very bad tempered/wish he would calm down a little bit //
300261,He backpedalled on some of his issues he said years ago. //
300264,The way he speaks sometimes I don't know how well he would do in a situation with other leaders//I dont feel he isnt knowledgable but his way of handling people isn't good. Different running a business and being President
300267,His lack of self control in his speeches. //
300269,his racism. sexism.\\
300270,everything he is a pathogical egotistical liar
300273,
300276,GOT A LOUD MOUTH.//
300278,
300279,his mouth//
300280,"I feel myself that our country would be set back 50-60 years if he were elected president, I feel that he is predjudiced against any minorities//He's a bully and I feel like he would work well with congress, He doesn't play well with others//"
300282,"i don't like his idea on the wall, he is so high handed, he goes off at the drop of a hat, i lthnk it is a good idea he has Pence, but I don't think he will listen to him\\ i think it is a power struggle with him, he has not been in politics, his voting is different on things, and I don't understnad that\\"
300284,
300289,"He has literally no experience balancing a budget of a cluntry, no foreign policy experience, the busionesses he has run he started with moneys he has inherited and has not done that well and these are businesses that are not that hard to do well, he started a for profit college. His real estates holdings are dictated by the market that puts success as dictated by the market and not by his skill. I don't think he has the ability to run a sovereign nation.//He's provocative and he divides groups of people instead of unites.//I think that he is basically saying whatever he needs to say to get elected.//I think he's a wealthy man from a wealthy background that is not a man of the people. He's integrated into the corporate structure. he's not an outsider. It's a joke.//"
300297,His lack of experience in running government high position//His personality being against being against pretty much everybody//his attitude//his inability to answer tough question//his combative attitude//having an extreme short temper//don't even know if he is successful in business as he says meaning multiple bankruptcies and court judgements and all that//Michael Bloomberg did not agree with him in other words he is not good
300299,"racism, sexism, assholism, pretty much"
300303,"The way he presents himselfr sometimes, he can coe across very mean in my opinion.//"
300304,"respect for him ,"
300307,
300312,everything//he's a racist liar//
300313,Depends on who he is runnug against.///
300317,"i feel he's a racist and I believe he doesnt have a foreign policy or social programs, he's for the rich and there's really nothing I can see//"
300322,
300325,No politic knowledge or experience.\\
300326,"He is an arigant naarcisit & he doesn't havee the wisddon or self control to run this county, he soesn't the right skill set or to run the country, unqualified, plus his autjorintaian bent thietons our form of democoracy & I wouldn't vote for him regardless of his polictical party, Basically my dislike for him rises above politics//"
300327,
300333,"he flips out a lot and lets somebody get under his skin, he has a filthy mout, potty mouth//"
300334,"everything, totally dislike the fact that hes running for us president and thinks that he was being smart to avoid paying taxes, thinks that it is disgraceful, i think he has an air of negativity about people that totally turns me off//"
300335,"He is a Republican, I think he is too seelf centered, his adjenda doesn't support middle class//"
300336,he is arrogant//
300339,I dont beliebe he is cualified// he has bacnkcrupted 4 comapnies. Trum university wsas a failure//
300342,"asshole and a liar he is a jerk , pompous"
300343,i think hes an idiot\\hes is typical person that has gone through life with money and he doesn't have respect for anything\\he knows very little
300344,"Everything, he is out of his cotton picken mind"
300345,
300352,
300360,He is highly unqulaified and has no experience in foreeign politics. //
300361,Does not talk like a politician//
300363,"I think he can shoot from the lip a little too fast, but I think hell surround himself with good people that will keep him in check and I know his kids will keep him in check//"
300364,"personality, he wasn't a--he was a business man and that's good but don'tknow how great a business man he is// doesn't habve the character for the presidency//"
300371,he is racist biggoted masogistated zenophobic asshole//he is the embodiment of white male privilege thinks women are only valuale if attractive// there is more about him alot I dislike all in all I think he is a terrible person he is also on trial for raping 13 year old and made inappropiate comments on 10 years old that bothers me in a very deep level//i dont if he is actually on trial but he is being charge for raping 13 year old//
300375,
300376,absolutely evenything elss;; to be more specifc// it doesnt believe in racism or deportation/what bohters me about him is that he encourages a side of people that we don't need to bee seeing//as a result of him running we've been more diviide then ever//
300377,do not think he is fit to be president
300383,"when he opens his mouth, not a big fan of manipulators, hes a bigot"
300386,His companies filed bankruptcy. //
300387,HIS INABILITY TO STAY FOCUSED
300389,"BEING A TEACHER i have alot of hispanis students and they think that they might get kicked out if donald trumo beciomes president. i think he has an anger issue. i am afraid he is not level heading, he says what comes out of his mind and is not level headed with anger issues.the one thing that bothers durig the primaries when he attacked his wife publically and stated look how un=gly she is in front of millions of people. it is difinitely not good leadership is is cruel. Anf the wall is ridiculous.//"
300393,
300398,"He's against women// I don't like the way he talks and handles himself.// I don't believe him.// I don't like the way he treats the vetrans, he makes fun of them, it's aweful.// I don't like the way he acts, he doesn't act like aPresident.// I think he's lying, I don't believe him.//"
300400,
300402,
300403,JUST HOW HE TALKS HOW HE SPEAKS HE DOESN'T SEEM THAT HE HAS A GOOD HEAD ON HIS SHOULDERS//HE IS JUST NOT READY// HE JUST DOENS'T LIKE THEM ALL THE SAME//
300404,HIS OVERALL CONDUCT TOWARDS PEOPLKE WHO ARE NOT LIKE HIM HIS ABILITY TO CONDUCT HIS OWN DEAMENOR IN HIGH STRESS SITUATIONS HIS POOR TREATMENT AND VERBAL ASSULT TOWARDS WOMEN IMMIGRANTS MINORITIES ANNYONE FROM LGBT COMMINITY
